Time [sec]          Ch A [K]  Ch B [K]  Ch C [K]  Ch D [K]  
1542072992          12.05     13.81     505.00    21.50     
1542073014          12.13     13.81     505.00    21.50     
1542073036          12.03     13.80     505.00    21.50     
1542073058          12.12     13.81     505.00    21.50     
1542073080          12.07     13.81     505.00    21.51     
1542073102          12.10     13.82     505.00    21.50     
1542073124          12.10     13.80     505.00    21.51     
1542073146          12.05     13.80     505.00    21.51     
1542073168          12.10     13.79     505.00    21.50     
1542073190          12.01     13.78     505.00    21.50     
1542073213          12.08     13.77     505.00    21.52     
1542073235          12.01     13.76     505.00    21.50     
1542073257          12.04     13.76     505.00    21.50     
1542073279          12.04     13.76     505.00    21.50     
1542073301          12.01     13.76     505.00    21.50     
1542073323          12.07     13.76     505.00    21.51     
1542073345          11.99     13.76     505.00    21.51     
1542073367          12.08     13.76     505.00    21.51     
1542073389          12.00     13.75     505.00    21.51     
1542073411          12.04     13.76     505.00    21.51     
1542073433          12.03     13.75     505.00    21.51     
1542073455          12.00     13.74     505.00    21.50     
1542073477          12.05     13.73     505.00    21.50     
1542073499          11.97     13.73     505.00    21.51     
1542073521          12.05     13.75     505.00    21.51     
1542073543          12.11     14.15     505.00    21.52     
1542073565          12.34     14.51     505.00    21.51     
1542073587          12.48     14.74     505.00    21.51     
1542073609          12.56     14.90     505.00    21.51     
1542073631          12.70     15.02     505.00    21.51     
1542073653          12.66     15.10     505.00    21.51     
1542073675          12.77     15.15     505.00    21.51     
1542073697          12.74     15.18     505.00    21.51     
1542073719          12.79     15.21     505.00    21.52     
1542073741          12.81     15.23     505.00    21.51     
1542073763          12.77     15.24     505.00    21.51     
1542073785          12.85     15.25     505.00    21.50     
1542073807          12.77     15.26     505.00    21.51     
1542073829          12.84     15.26     505.00    21.52     
1542073851          12.79     15.26     505.00    21.50     
1542073873          12.80     15.25     505.00    21.51     
1542073895          12.82     15.26     505.00    21.51     
1542073917          12.78     15.26     505.00    21.51     
1542073939          12.85     15.27     505.00    21.51     
1542073961          12.76     15.27     505.00    21.52     
1542073983          12.84     15.27     505.00    21.51     
1542074005          12.80     15.27     505.00    21.51     
1542074027          12.81     15.27     505.00    21.51     
1542074049          12.83     15.27     505.00    21.51     
1542074071          12.76     15.26     505.00    21.52     
1542074094          12.84     15.26     505.00    21.51     
1542074116          12.75     15.26     505.00    21.51     
1542074138          12.82     15.26     505.00    21.51     
1542074160          12.77     15.26     505.00    21.51     
1542074182          12.81     15.26     505.00    21.50     
1542074204          12.81     15.26     505.00    21.51     
1542074226          12.78     15.26     505.00    21.51     
1542074248          12.82     15.26     505.00    21.50     
1542074270          12.75     15.26     505.00    21.50     
1542074292          12.83     15.25     505.00    21.50     
1542074314          12.74     15.25     505.00    21.51     
1542074336          12.80     15.25     505.00    21.51     
1542074358          12.78     15.25     505.00    21.51     
1542074380          12.78     15.25     505.00    21.50     
1542074402          12.81     15.25     505.00    21.50     
1542074424          12.75     15.25     505.00    21.51     
1542074446          12.83     15.26     505.00    21.50     
1542074468          12.74     15.25     505.00    21.50     
1542074490          12.81     15.25     505.00    21.51     
1542074512          12.77     15.25     505.00    21.50     
1542074534          12.77     15.25     505.00    21.51     
1542074556          12.79     15.25     505.00    21.51     
1542074578          12.75     15.25     505.00    21.51     
1542074600          12.82     15.25     505.00    21.52     
1542074622          12.73     15.25     505.00    21.51     
1542074644          12.81     15.25     505.00    21.51     
1542074666          12.75     15.24     505.00    21.50     
1542074688          12.78     15.24     505.00    21.51     
1542074710          12.78     15.24     505.00    21.51     
1542074732          12.76     15.25     505.00    21.49     
1542074754          12.82     15.24     505.00    21.51     
1542074776          12.73     15.24     505.00    21.52     
1542074798          12.82     15.25     505.00    21.52     
1542074820          12.74     15.24     505.00    21.51     
1542074842          12.78     15.25     505.00    21.51     
1542074864          12.78     15.24     505.00    21.50     
1542074886          12.76     15.24     505.00    21.50     
1542074908          12.81     15.24     505.00    21.51     
1542074930          12.73     15.24     505.00    21.51     
1542074952          12.81     15.24     505.00    21.51     
1542074975          12.74     15.24     505.00    21.50     
1542074997          12.79     15.24     505.00    21.50     
1542075019          12.77     15.24     505.00    21.50     
1542075041          12.76     15.24     505.00    21.51     
1542075063          12.79     15.24     505.00    21.50     
1542075085          12.73     15.23     505.00    21.50     
1542075107          12.81     15.24     505.00    21.50     
1542075129          12.72     15.23     505.00    21.51     
1542075151          12.80     15.24     505.00    21.50     
1542075173          12.75     15.23     505.00    21.50     
1542075195          12.76     15.24     505.00    21.50     
1542075217          12.77     15.23     505.00    21.50     
1542075239          12.74     15.23     505.00    21.50     
1542075261          12.80     15.23     505.00    21.51     
1542075283          12.72     15.23     505.00    21.50     
1542075305          12.80     15.23     505.00    21.50     
