Time [sec]          Ch 1 [K]  Ch 2 [K]  Ch 3 [K]  Ch 4 [K]  
1539648661          13.28     12.74     405.23    500.00    
1539648693          13.35     12.82     408.45    500.00    
1539648725          13.38     12.66     407.16    500.00    
1539648758          13.24     12.77     400.48    500.00    
1539648790          13.37     12.77     402.12    500.00    
1539648822          13.31     12.62     403.43    500.00    
1539648854          13.69     13.22     408.32    500.00    
1539648886          14.46     13.81     414.28    500.00    
1539648919          14.77     14.22     416.78    500.00    
1539648951          15.07     14.58     419.22    500.00    
1539648983          15.28     14.62     423.57    500.00    
1539649015          15.27     14.82     425.06    500.00    
1539649047          15.45     14.90     423.43    500.00    
1539649080          15.46     14.83     424.17    500.00    
1539649112          15.45     15.00     422.70    500.00    
1539649144          15.57     14.95     425.11    500.00    
1539649176          15.49     14.95     426.90    500.00    
1539649208          15.53     15.05     429.18    500.00    
1539649241          15.59     14.94     426.52    500.00    
1539649273          15.50     15.05     428.37    500.00    
1539649305          15.62     15.09     419.77    500.00    
1539649337          15.62     14.98     423.36    500.00    
1539649369          15.58     15.14     428.05    500.00    
1539649402          15.66     15.06     431.39    500.00    
1539649434          15.57     15.02     428.78    500.00    
1539649466          15.60     15.12     426.38    500.00    
1539649498          15.65     15.01     425.79    500.00    
1539649530          15.52     15.06     423.60    500.00    
1539649563          15.63     15.10     421.81    500.00    
1539649595          15.61     14.97     421.74    500.00    
1539649627          15.56     15.12     423.06    500.00    
1539649659          15.67     15.07     425.39    500.00    
1539649691          15.57     15.02     423.40    500.00    
1539649724          15.58     15.10     424.97    500.00    
1539649756          15.62     14.98     425.54    500.00    
1539649788          15.50     15.05     427.81    500.00    
1539649820          15.62     15.08     427.09    500.00    
1539649852          15.58     14.96     427.02    500.00    
1539649885          15.55     15.09     422.99    500.00    
1539649917          15.63     15.01     426.89    500.00    
1539649949          15.53     15.02     427.12    500.00    
1539649981          15.58     15.09     427.67    500.00    
1539650013          15.60     14.95     427.96    500.00    
1539650046          15.49     15.05     425.96    500.00    
1539650078          15.60     15.02     424.65    500.00    
1539650110          15.53     14.93     419.78    500.00    
1539650142          15.53     15.06     421.31    500.00    
1539650174          15.60     14.96     421.96    500.00    
1539650207          15.46     14.98     427.44    500.00    
1539650239          15.57     15.06     424.74    500.00    
1539650271          15.58     14.94     424.23    500.00    
1539650303          15.49     15.04     424.78    500.00    
1539650335          15.59     15.00     424.83    500.00    
1539650368          15.50     14.94     421.15    500.00    
1539650400          15.54     15.06     422.82    500.00    
1539650432          15.59     14.94     426.11    500.00    
1539650464          15.47     15.01     427.22    500.00    
1539650496          15.55     15.02     425.86    500.00    
1539650529          15.53     14.91     427.93    500.00    
1539650561          15.49     15.02     429.13    500.00    
1539650593          15.58     14.95     427.52    500.00    
1539650625          15.48     14.97     426.59    500.00    
1539650657          15.54     15.04     427.63    500.00    
1539650690          15.54     14.90     426.06    500.00    
1539650722          15.45     15.01     423.49    500.00    
1539650754          15.55     14.95     421.99    500.00    
1539650786          15.45     14.93     419.55    500.00    
1539650818          15.51     15.01     423.99    500.00    
1539650851          15.52     14.87     426.13    500.00    
1539650883          15.44     14.98     424.07    500.00    
1539650915          15.54     14.94     424.01    500.00    
1539650947          15.43     14.92     425.53    500.00    
1539650979          15.49     14.99     428.71    500.00    
1539651012          15.50     14.86     429.53    500.00    
1539651044          15.42     14.97     432.63    500.00    
1539651076          15.53     14.93     431.83    500.00    
1539651108          15.44     14.91     426.82    500.00    
1539651140          15.48     14.99     424.14    500.00    
1539651173          15.51     14.87     425.86    500.00    
1539651205          15.41     14.96     428.26    500.00    
1539651237          15.51     14.93     429.42    500.00    
1539651269          15.44     14.88     429.77    500.00    
1539651301          15.47     14.98     431.09    500.00    
1539651334          15.50     14.86     431.13    500.00    
1539651366          15.40     14.95     430.23    500.00    
1539651398          15.50     14.94     427.99    500.00    
1539651430          15.43     14.86     425.38    500.00    
1539651462          15.46     14.97     424.81    500.00    
1539651495          15.51     14.86     424.91    500.00    
1539651527          15.40     14.95     422.14    500.00    
1539651559          15.50     14.92     419.39    500.00    
1539651591          15.42     14.88     421.33    500.00    
1539651623          15.46     14.97     421.32    500.00    
1539651656          15.49     14.85     421.69    500.00    
1539651688          15.41     14.95     420.26    500.00    
1539651720          15.51     14.90     424.26    500.00    
1539651752          15.43     14.92     425.65    500.00    
1539651784          15.49     14.99     429.81    500.00    
1539651817          15.49     14.86     429.80    500.00    
1539651849          15.44     14.97     425.07    500.00    
1539651881          15.52     14.89     420.47    500.00    
1539651913          15.40     14.91     424.51    500.00    
1539651945          15.49     14.97     425.03    500.00    
1539651978          15.47     14.87     426.44    500.00    
1539652010          15.44     14.98     422.63    500.00    
1539652042          15.51     14.88     419.48    500.00    
1539652074          15.38     14.93     418.77    500.00    
